,host_id,price,room_type,bedrooms,beds,bathrooms,bed_type
566,942301,150,Entire home/apt,1.0,1.0,1.5,Real Bed
567,945998,85,Entire home/apt,1.0,1.0,1.0,Real Bed
568,948918,59,Private room,1.0,1.0,,Real Bed
569,949874,119,Entire home/apt,1.0,1.0,1.0,Real Bed
570,957213,90,Entire home/apt,1.0,1.0,1.0,Real Bed
571,965667,425,Entire home/apt,4.0,6.0,3.0,Real Bed
572,965667,240,Entire home/apt,2.0,3.0,2.0,Real Bed
573,965667,230,Entire home/apt,2.0,3.0,2.0,Real Bed
574,965667,210,Entire home/apt,2.0,3.0,1.0,Real Bed
575,965667,200,Entire home/apt,2.0,4.0,2.0,Real Bed
576,967796,100,Entire home/apt,1.0,1.0,1.0,Real Bed
577,970402,95,Entire home/apt,1.0,2.0,1.0,Real Bed
578,976652,99,Entire home/apt,1.0,2.0,1.0,Real Bed
579,976980,150,Entire home/apt,1.0,1.0,1.0,Real Bed
580,989159,118,Entire home/apt,1.0,2.0,1.0,Real Bed
581,989592,120,Entire home/apt,2.0,2.0,1.0,Real Bed
582,995158,199,Entire home/apt,2.0,4.0,1.5,Real Bed
583,995697,240,Entire home/apt,2.0,1.0,1.0,Real Bed
584,999036,199,Entire home/apt,3.0,6.0,1.5,Real Bed
585,999457,98,Entire home/apt,1.0,2.0,1.0,Real Bed
586,1000518,85,Private room,1.0,1.0,1.0,Real Bed
587,1003796,35,Private room,1.0,1.0,1.0,Real Bed
588,1003796,35,Private room,1.0,1.0,,Real Bed
589,1005087,299,Entire home/apt,3.0,6.0,1.0,Real Bed
590,1005087,359,Entire home/apt,3.0,6.0,1.5,Real Bed
591,1005087,229,Entire home/apt,1.0,6.0,1.0,Real Bed
592,1005415,87,Entire home/apt,1.0,1.0,1.0,Real Bed
593,1008875,125,Entire home/apt,1.0,1.0,1.0,Real Bed
594,1014320,99,Entire home/apt,1.0,1.0,1.0,Real Bed
595,1015444,75,Entire home/apt,2.0,2.0,1.0,Real Bed
596,1016298,135,Entire home/apt,2.0,3.0,1.0,Real Bed
597,1022679,120,Entire home/apt,1.0,1.0,1.0,Real Bed
598,1024817,100,Entire home/apt,1.0,1.0,1.0,Real Bed
599,1029506,135,Entire home/apt,3.0,4.0,1.0,Real Bed
600,1029506,75,Private room,1.0,1.0,1.0,Real Bed
601,1030587,125,Entire home/apt,1.0,2.0,1.0,Real Bed
602,1033438,69,Entire home/apt,1.0,2.0,1.0,Real Bed
603,1090600,50,Private room,1.0,3.0,1.0,Real Bed
604,1091971,80,Entire home/apt,1.0,1.0,1.0,Real Bed
605,1092788,75,Entire home/apt,1.0,1.0,1.0,Real Bed
606,1107389,79,Private room,1.0,2.0,1.0,Real Bed
607,1107727,295,Entire home/apt,4.0,8.0,2.0,Real Bed
608,1107727,78,Private room,1.0,2.0,1.0,Real Bed
609,1109692,99,Entire home/apt,1.0,1.0,1.0,Real Bed
610,1118440,59,Private room,1.0,1.0,1.0,Real Bed
611,1118702,180,Entire home/apt,2.0,2.0,1.0,Real Bed
612,1120868,85,Entire home/apt,1.0,1.0,1.0,Real Bed
613,1124563,99,Entire home/apt,1.0,1.0,1.0,Real Bed
614,1125467,99,Entire home/apt,1.0,1.0,1.0,Real Bed
615,1135329,550,Entire home/apt,2.0,2.0,1.0,Real Bed
616,1135329,327,Entire home/apt,1.0,1.0,,Real Bed
617,1135786,125,Entire home/apt,3.0,5.0,1.5,Real Bed
618,1141485,85,Private room,1.0,1.0,,Real Bed
619,1143187,295,Entire home/apt,2.0,2.0,1.0,Real Bed
620,1150862,98,Entire home/apt,1.0,1.0,1.0,Real Bed
621,1150890,90,Entire home/apt,0.0,1.0,1.0,Real Bed
